kuntanumero,name,latitude,longitude
444,Lohja,24.0653,60.2486
445,Parainen,22.301001,60.306702
475,Maalahti,21.573099,62.9422
478,Maarianhamina,19.9348,60.0971
480,Marttila,22.9,60.583302
481,Masku,22.098801,60.570801
483,Merijärvi,24.450001,64.300003
484,Merikarvia,21.500401,61.858398
489,Miehikkälä,27.700001,60.666698
491,Mikkeli,27.272301000000002,61.688598999999996
494,Muhos,25.993099,64.807999
495,Multia,24.7833,62.416698
498,Muonio,23.700001,67.949997
499,Mustasaari,26.0012,63.6073
500,Muurame,25.6667,62.133301
503,Mynämäki,21.992701,60.6791
504,Myrskylä,25.8475,60.669701
505,Mäntsälä,25.3167,60.633301
507,Mäntyharju,26.883301,61.416698
508,Mänttä-Vilppula,24.627899,62.030102
529,Naantali,22.0243,60.4674
531,Nakkila,22.0,61.366699
535,Nivala,24.9667,63.916698
536,Nokia,23.5,61.466702000000005
538,Nousiainen,22.0793,60.604198
541,Nurmes,29.1397,63.542
543,Nurmijärvi,24.807301000000002,60.4641
545,Närpiö,21.337099,62.472801000000004
560,Orimattila,25.729601000000002,60.804901
561,Oripää,22.6833,60.849998
562,Orivesi,24.357201,61.6777
563,Oulainen,24.799999,64.266701
564,Oulu,25.468201,65.012398
576,Padasjoki,25.2833,61.349998
577,Paimio,22.686899,60.456699
578,Paltamo,27.8333,64.416702
580,Parikkala,29.5,61.549999
581,Parkano,23.016701,62.016701
583,Pelkosenniemi,27.510599,67.110802
584,Perho,24.4167,63.216702000000005
588,Pertunmaa,26.483299,61.5
592,Petäjävesi,25.200001,62.25
593,Pieksämäki,27.133301,62.299999
595,Pielavesi,26.75,63.233299
598,Pietarsaari,22.6833,63.650002
599,Pedersören kunta,22.6833,63.650002
601,Pihtipudas,25.5667,63.383301
604,Pirkkala,23.632299,61.4613
607,Polvijärvi,29.366699,62.849998
608,Pomarkku,22.0086,61.693501
609,Pori,21.7833,61.483299
611,Pornainen,25.374901,60.4758
614,Posio,28.1719,66.108597
615,Pudasjärvi,26.9167,65.383301
616,Pukkila,25.5667,60.650002
619,Punkalaidun,23.1,61.116699
620,Puolanka,27.6667,64.866699
623,Puumala,28.1749,61.527302
624,Pyhtää,26.543501000000003,60.4935
625,Pyhäjoki,24.233299,64.466698
626,Pyhäjärvi,25.9,63.666698
630,Pyhäntä,26.3167,64.099998
631,Pyhäranta,21.450001,60.950001
635,Pälkäne,24.271998999999997,61.334202000000005
636,Pöytyä,22.6667,60.766701
638,Porvoo,25.6651,60.3923
678,Raahe,24.483299,64.683296
680,Raisio,22.1689,60.485901
681,Rantasalmi,28.299999,62.0667
683,Ranua,26.5333,65.916702
684,Rauma,21.511298999999998,61.127201
686,Rautalampi,26.8333,62.633301
687,Rautavaara,28.299999,63.483299
689,Rautjärvi,29.35,61.4333
691,Reisjärvi,24.9,63.616699
694,Riihimäki,24.7773,60.737701
697,Ristijärvi,28.2167,64.5
698,Rovaniemi,25.7167,66.5
700,Ruokolahti,28.8333,61.283297999999995
702,Ruovesi,24.0571,61.985699
704,Rusko,22.2167,60.533297999999995
707,Rääkkylä,29.616699,62.3167
710,Raasepori,23.433901000000002,59.973597999999996
729,Saarijärvi,25.254,62.704899
732,Salla,28.6667,66.833298
734,Salo,23.133301,60.383301
736,Saltvik,25.982201,60.221298
738,Sauvo,22.6964,60.343102
739,Savitaipale,27.700001,61.200001
740,Savonlinna,28.879998999999998,61.8699
742,Savukoski,28.1581,67.292503
743,Seinäjoki,22.828198999999998,62.794498
746,Sievi,24.5,63.900002
747,Siikainen,21.8195,61.876999
748,Siikajoki,24.759199,64.814598
749,Siilinjärvi,27.6667,63.083302
751,Simo,25.049999,65.666702
753,Sipoo,25.2691,60.377499
755,Siuntio,24.2271,60.138599
758,Sodankylä,26.6,67.416702
759,Soini,24.2167,62.866699
761,Somero,23.5333,60.616699
762,Sonkajärvi,27.516701,63.666698
765,Sotkamo,28.4167,64.133301
766,Sottunga,20.6666,60.1308
768,Sulkava,28.372999,61.7869
771,Sund,20.11629,60.2502
777,Suomussalmi,28.907801,64.886803
778,Suonenjoki,27.133301,62.616699
781,Sysmä,25.6833,61.5
783,Säkylä,22.3333,61.033297999999995
785,Vaala,26.8333,64.566704
790,Sastamala,22.9,61.333302
791,Siikalatva,25.866699,64.266701
831,Taipalsaari,28.049999,61.150002
832,Taivalkoski,28.25,65.566704
833,Taivassalo,21.6164,60.560798999999996
834,Tammela,23.7682,60.810299
837,Tampere,23.7871,61.4991
844,Tervo,26.75,62.950001
845,Tervola,24.799999,66.083298
846,Teuva,21.7416,62.481899
848,Tohmajärvi,30.383301,62.1833
849,Toholampi,24.25,63.766701
