municipalityNumber,provinceNumber,province,municipality,latitude,longitude
746,17,Pohjois-Pohjanmaa,Sievi,24.5,63.900002
747,4,Satakunta,Siikainen,21.8195,61.876999
748,17,Pohjois-Pohjanmaa,Siikajoki,24.759199,64.814598
749,11,Pohjois-Savo,Siilinjärvi,27.6667,63.083302
751,19,Lappi,Simo,25.049999,65.666702
753,1,Uusimaa,Sipoo,25.2691,60.377499
755,1,Uusimaa,Siuntio,24.2271,60.138599
758,19,Lappi,Sodankylä,26.6,67.416702
759,14,Etelä-Pohjanmaa,Soini,24.2167,62.866699
761,2,Varsinais-Suomi,Somero,23.5333,60.616699
762,11,Pohjois-Savo,Sonkajärvi,27.516701,63.666698
765,18,Kainuu,Sotkamo,28.4167,64.133301
766,21,Ahvenanmaa,Sottunga,20.6666,60.1308
768,10,Etelä-Savo,Sulkava,28.372999,61.7869
771,21,Ahvenanmaa,Sund,20.11629,60.2502
777,18,Kainuu,Suomussalmi,28.907801,64.886803
778,11,Pohjois-Savo,Suonenjoki,27.133301,62.616699
781,7,Päijät-Häme,Sysmä,25.6833,61.5
783,4,Satakunta,Säkylä,22.3333,61.033298
785,17,Pohjois-Pohjanmaa,Vaala,26.8333,64.566704
790,6,Pirkanmaa,Sastamala,22.9,61.333302
791,17,Pohjois-Pohjanmaa,Siikalatva,25.866699,64.266701
831,9,Etelä-Karjala,Taipalsaari,28.049999,61.150002
832,17,Pohjois-Pohjanmaa,Taivalkoski,28.25,65.566704
833,2,Varsinais-Suomi,Taivassalo,21.6164,60.560799
834,5,Kanta-Häme,Tammela,23.7682,60.810299
837,6,Pirkanmaa,Tampere,23.7871,61.4991
844,11,Pohjois-Savo,Tervo,26.75,62.950001
845,19,Lappi,Tervola,24.799999,66.083298
846,14,Etelä-Pohjanmaa,Teuva,21.7416,62.481899
848,12,Pohjois-Karjala,Tohmajärvi,30.383301,62.1833
849,16,Keski-Pohjanmaa,Toholampi,24.25,63.766701
850,13,Keski-Suomi,Toivakka,26.0833,62.099998
851,19,Lappi,Tornio,24.146601,65.848099
853,2,Varsinais-Suomi,Turku,22.2687,60.4515
854,19,Lappi,Pello,23.9625,66.77359799999999
857,11,Pohjois-Savo,Tuusniemi,28.5,62.8167
858,1,Uusimaa,Tuusula,25.0264,60.403702
859,17,Pohjois-Pohjanmaa,Tyrnävä,25.6523,64.764702
886,4,Satakunta,Ulvila,21.871,61.428398
887,6,Pirkanmaa,Urjala,23.5333,61.083302
889,17,Pohjois-Pohjanmaa,Utajärvi,26.383301,64.75
890,19,Lappi,Utsjoki,27.0284,69.9086
892,13,Keski-Suomi,Uurainen,25.450001,62.5
893,15,Pohjanmaa,Uusikaarlepyy,22.5304,63.5218
895,2,Varsinais-Suomi,Uusikaupunki,21.4084,60.8004
905,15,Pohjanmaa,Vaasa,21.615801,63.096001
908,6,Pirkanmaa,Valkeakoski,24.0312,61.264198
915,11,Pohjois-Savo,Varkaus,27.872999,62.3153
918,2,Varsinais-Suomi,Vehmaa,21.6667,60.6833
921,11,Pohjois-Savo,Vesanto,26.4167,62.9333
922,6,Pirkanmaa,Vesilahti,23.616699,61.3167
924,16,Keski-Pohjanmaa,Veteli,23.7829,63.478401
925,11,Pohjois-Savo,Vieremä,27.016701,63.75
927,1,Uusimaa,Vihti,24.3197,60.417
931,13,Keski-Suomi,Viitasaari,25.866699,63.0667
934,14,Etelä-Pohjanmaa,Vimpeli,23.819201,63.1619
935,8,Kymenlaakso,Virolahti,27.6831,60.516701
936,6,Pirkanmaa,Virrat,23.780001,62.247601
941,21,Ahvenanmaa,Vårdö,26.2675,60.387699
946,15,Pohjanmaa,Vöyri,22.252199,63.136101
976,19,Lappi,Ylitornio,23.677299,66.308899
977,17,Pohjois-Pohjanmaa,Ylivieska,24.549999,64.083298
980,6,Pirkanmaa,Ylöjärvi,23.5961,61.556301
981,5,Kanta-Häme,Ypäjä,23.2833,60.799999
989,14,Etelä-Pohjanmaa,Ähtäri,24.061899,62.554001
992,13,Keski-Suomi,Äänekoski,25.733299,62.599998
